id_marca,nome_marca,id_modelo,nome_modelo
1,Acura,038003-2,Integra GS 1.8
1,Acura,038002-4,Legend 3.2/3.5
1,Acura,038001-6,NSX 3.0
2,Agrale,060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel
2,Agrale,060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel
2,Agrale,060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel
2,Agrale,060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel
2,Agrale,060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel
2,Agrale,060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel
2,Agrale,060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel
2,Agrale,060002-4,MARRUÁ AM 50 2.8 140CV TDI Diesel
3,Alfa Romeo,006009-7,145 Elegant 1.7/1.8 16V
3,Alfa Romeo,006001-1,145 Elegant 2.0 16V
3,Alfa Romeo,006002-0,145 Quadrifoglio 2.0
3,Alfa Romeo,006008-9,145 QV
3,Alfa Romeo,006017-8,147 2.0 16V 148cv 4p Semi-Aut.
3,Alfa Romeo,006003-8,155
3,Alfa Romeo,006004-6,155 Super
3,Alfa Romeo,006015-1,156 2.5 V6 24V 190cv 4p Aut.
3,Alfa Romeo,006014-3,156 Sport Wagon 2.0 16V
3,Alfa Romeo,006016-0,156 SportWagon 2.5 V6 24V 190cv 4p Aut.
3,Alfa Romeo,006010-0,156 TS/Sport/Elegant 2.0 16V
3,Alfa Romeo,006005-4,164 3.0 V6
3,Alfa Romeo,006006-2,164 Super V6 24V
3,Alfa Romeo,006011-9,166 3.0 V6 24V
3,Alfa Romeo,006013-5,2300 TI/TI-4
3,Alfa Romeo,006007-0,Spider 2.0/3.0
4,AM Gen,037001-0,Hummer Hard-Top 6.5 4x4 Diesel TB
4,AM Gen,037002-9,Hummer Open-Top 6.5 4x4 Diesel TB
4,AM Gen,037003-7,Hummer Wagon 6.5 4x4 Diesel TB
5,Asia Motors,007018-1,AM-825 Luxo 4.0 Diesel
5,Asia Motors,007019-0,AM-825 Super Luxo 4.0 Diesel
5,Asia Motors,007001-7,Hi-Topic SLX/SDX/DLX Full Diesel
5,Asia Motors,007002-5,Hi-Topic STD Diesel
5,Asia Motors,007017-3,Hi-Topic Van 2.7 Diesel (furgão)
